templateName,instrumentCode,defaultQuantity,defaultPrice,autoApprovalAllowed,mtmApprovalThreshold,commodity,unit,currency
DCF Power Forward Jan-26,PWR-JAN-26,1000,52.50,true,100000,POWER,MWh,EUR
DCF Power Forward Feb-26,PWR-FEB-26,1000,53.25,true,100000,POWER,MWh,EUR
DCF Power Forward Mar-26,PWR-MAR-26,1000,54.00,true,100000,POWER,MWh,EUR
DCF Power Forward Apr-26,PWR-APR-26,1000,54.75,true,100000,POWER,MWh,EUR
DCF Power Forward May-26,PWR-MAY-26,1000,55.50,true,100000,POWER,MWh,EUR
DCF Power Forward Jun-26,PWR-JUN-26,1000,56.25,true,100000,POWER,MWh,EUR
DCF Gas Forward Jan-26,GAS-JAN-26,500,8.75,false,50000,GAS,MMBtu,USD
DCF Gas Forward Feb-26,GAS-FEB-26,500,9.00,false,50000,GAS,MMBtu,USD
DCF Gas Forward Mar-26,GAS-MAR-26,500,9.25,false,50000,GAS,MMBtu,USD
DCF Gas Forward Apr-26,GAS-APR-26,500,9.50,false,50000,GAS,MMBtu,USD
DCF Gas Forward May-26,GAS-MAY-26,500,9.75,false,50000,GAS,MMBtu,USD
DCF Gas Forward Jun-26,GAS-JUN-26,500,10.00,false,50000,GAS,MMBtu,USD
DCF Oil Swap Q1-26,OIL-Q1-26,10000,75.00,false,500000,OIL,bbl,USD
DCF Oil Swap Q2-26,OIL-Q2-26,10000,76.50,false,500000,OIL,bbl,USD
DCF Coal Swap Q1-26,COAL-Q1-26,5000,125.00,false,250000,COAL,MT,USD
DCF Coal Swap Q2-26,COAL-Q2-26,5000,127.50,false,250000,COAL,MT,USD
DCF Renewable PPA Jan-Jun-26,RENEWABLE-JAN-JUN-26,50000,45.00,true,1000000,POWER,MWh,EUR