location,date,temperature,precipitation
GERMANY_NORTH,2024-01-05,2.5,0.0
GERMANY_NORTH,2024-01-06,1.8,2.1
GERMANY_NORTH,2024-01-07,3.2,0.0
GERMANY_NORTH,2024-01-08,4.1,0.5
GERMANY_NORTH,2024-01-09,2.9,1.2
SPAIN_SOUTH,2024-01-05,12.5,0.0
SPAIN_SOUTH,2024-01-06,13.2,0.0
SPAIN_SOUTH,2024-01-07,11.8,0.3
SPAIN_SOUTH,2024-01-08,14.1,0.0
SPAIN_SOUTH,2024-01-09,12.7,0.1
FRANCE_CENTRAL,2024-01-05,5.5,0.2
FRANCE_CENTRAL,2024-01-06,4.8,1.8
FRANCE_CENTRAL,2024-01-07,6.2,0.0
FRANCE_CENTRAL,2024-01-08,7.1,0.0
FRANCE_CENTRAL,2024-01-09,5.9,0.8